,Mean,SD,HDI 2.5%,HDI 97.5%,P(>0)
stimulus_effect_d_prime,0.2175770856222336,0.30574520290801255,-0.38110180347045425,0.8106354998978471,0.761375
difficulty_effect_d_prime,-1.9402410900285076,0.3758021496919366,-2.6578066041422876,-1.1658677249353715,0.0
stimulus_effect_criterion,0.030706076053759114,0.03872905325320615,-0.04584075054857235,0.10752727872933035,0.787375
difficulty_effect_criterion,0.00968427610656639,0.031225011454947153,-0.05168683181595688,0.07095790407659758,0.6235
interaction_d_prime,-0.24188031719997227,0.23179607917807138,-0.6932126609716996,0.21354352166320026,0.1465
interaction_criterion,-0.03546778074637766,0.045015576502292216,-0.12322070536249302,0.05093979513377063,0.21475
